,precision,recall,f1-score,support
BENIGN,0.9992343217476826,0.9991771629723337,0.9992057415425776,454525.0
FTP-Patator,0.831353919239905,0.8254716981132075,0.8284023668639052,424.0
SSH-Patator,0.9996124481649421,0.9996511898302457,0.9996318186222265,25802.0
DoS slowloris,0.9956246961594555,0.9951409135082604,0.9953827460510327,2058.0
DoS Slowhttptest,0.9985163528462025,0.9992576257123518,0.9988868517548455,45799.0
DoS Hulk,0.9852813852813853,0.9912891986062717,0.9882761615284412,1148.0
DoS GoldenEye,0.9956369982547993,0.9956369982547993,0.9956369982547993,1146.0
Heartbleed,0.9987523393636931,0.9987523393636931,0.9987523393636931,1603.0
Web Attack Brute Force,1.0,0.6666666666666666,0.8,3.0
Web Attack XSS,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0
Web Attack Sql Injection,0.9931919185551739,0.9927538514854605,0.9929728367051113,31741.0
Infiltration,1.0,1.0,1.0,1200.0
Bot,0.7366548042704626,0.7162629757785467,0.7263157894736842,289.0
DDoS,0.6,0.42857142857142855,0.5,7.0
PortScan,0.41007194244604317,0.4523809523809524,0.430188679245283,126.0
accuracy,0.998398945353849,0.998398945353849,0.998398945353849,0.998398945353849
macro avg,0.8807065195330941,0.8485119778607256,0.8613545997381511,565877.0
weighted avg,0.9984065276212313,0.998398945353849,0.9984020378230759,565877.0
